PMID,Toxicant,Year,Group,Paper_Title,text
37856957,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Migration testing of microplastics from selected water and food containers by Raman microscopy.,migration testing of microplastics from selected water and food containers by raman microscopy.
37821042,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,ROS meditated paralytic shellfish toxins production changes of Alexandrium tamarense caused by microplastic particles.,ros meditated paralytic shellfish toxins production changes of alexandrium tamarense caused by microplastic particles.
37804760,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,A photoluminescence strategy for detection nanoplastics in water and biological imaging in cells and plants.,a photoluminescence strategy for detection nanoplastics in water and biological imaging in cells and plants.
37686424,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Melatonin Alleviates Intestinal Barrier Damaging Effects Induced by Polyethylene Microplastics in Albino Rats.,melatonin alleviates intestinal barrier damaging effects induced by polyethylene microplastics in albino rats.
37651791,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Oral exposure to polyethylene microplastics induces inflammatory and metabolic changes and promotes fibrosis in mouse liver.,oral exposure to polyethylene microplastics induces inflammatory and metabolic changes and promotes fibrosis in mouse liver.
37459456,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Detection of Microplastics Based on a Liquid-Solid Triboelectric Nanogenerator and a Deep Learning Method.,detection of microplastics based on a liquid-solid triboelectric nanogenerator and a deep learning method.
37454010,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"Microplastic pollution in the gastrointestinal tract of giant river catfish Sperata seenghala (Sykes, 1839) from the Meghna River, Bangladesh.","microplastic pollution in the gastrointestinal tract of giant river catfish sperata seenghala (sykes, 1839) from the meghna river, bangladesh."
37451458,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Underestimated health risks: Dietary restriction magnify the intestinal barrier dysfunction and liver injury in mice induced by polystyrene microplastics.,underestimated health risks: dietary restriction magnify the intestinal barrier dysfunction and liver injury in mice induced by polystyrene microplastics.
37447588,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Separation and Characterization of Plastic Waste Packaging Contaminated with Food Residues.,separation and characterization of plastic waste packaging contaminated with food residues.
37405143,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Preliminary survey on the occurrence of microplastics in bivalve mollusks marketed in Apulian fish markets.,preliminary survey on the occurrence of microplastics in bivalve mollusks marketed in apulian fish markets.
37277071,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"Consumption of commercially sold dried fish snack ""Charales"" contaminated with microplastics in Mexico.","consumption of commercially sold dried fish snack ""charales"" contaminated with microplastics in mexico."
37209978,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Integrated LIBS-Raman spectroscopy: A comprehensive approach to monitor microplastics and heavy metal contamination in water resources.,integrated libs-raman spectroscopy: a comprehensive approach to monitor microplastics and heavy metal contamination in water resources.
37127196,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Comparative evaluation of filtration and imaging properties of analytical filters for microplastic capture and analysis.,comparative evaluation of filtration and imaging properties of analytical filters for microplastic capture and analysis.
37022934,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Oral feeding of nanoplastics affects brain function of mice by inducing macrophage IL-1 signal in the intestine.,oral feeding of nanoplastics affects brain function of mice by inducing macrophage il-1 signal in the intestine.
36764550,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Dysregulation of the microbiota-brain axis during long-term exposure to polystyrene nanoplastics in rats and the protective role of dihydrocaffeic acid.,dysregulation of the microbiota-brain axis during long-term exposure to polystyrene nanoplastics in rats and the protective role of dihydrocaffeic acid.
36753910,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Process-oriented impacts of microplastic fibers on behavior and histology of fish.,process-oriented impacts of microplastic fibers on behavior and histology of fish.
36709824,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Polystyrene nanoplastics inhibit StAR expression by activating HIF-1α via ERK1/2 MAPK and AKT pathways in TM3 Leydig cells and testicular tissues of mice.,polystyrene nanoplastics inhibit star expression by activating hif-1α via erk1/2 mapk and akt pathways in tm3 leydig cells and testicular tissues of mice.
36691479,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Microplastic contamination in canned fish sold in Türkiye.,microplastic contamination in canned fish sold in türkiye.
36617948,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"Paternal Inheritance Is an Important, but Overlooked, Factor Affecting the Adverse Effects of Microplastics and Nanoplastics on Subsequent Generations.","paternal inheritance is an important, but overlooked, factor affecting the adverse effects of microplastics and nanoplastics on subsequent generations."
38321696,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Polystyrene microplastics enhanced copper-induced acute immunotoxicity in red swamp crayfish (Procambarus clarkii).,polystyrene microplastics enhanced copper-induced acute immunotoxicity in red swamp crayfish (procambarus clarkii).
36446169,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Polystyrene nanoplastics promote CHIP-mediated degradation of tight junction proteins by activating IRE1α/XBP1s pathway in mouse Sertoli cells.,polystyrene nanoplastics promote chip-mediated degradation of tight junction proteins by activating ire1α/xbp1s pathway in mouse sertoli cells.
36374371,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"A Comparative Systematic Analysis of The Influence of Microplastics on Colon Cells, Mouse and Colon Organoids.","a comparative systematic analysis of the influence of microplastics on colon cells, mouse and colon organoids."
36294029,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Microplastic Contamination of Chicken Meat and Fish through Plastic Cutting Boards.,microplastic contamination of chicken meat and fish through plastic cutting boards.
36272317,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Accumulation of microplastics in fugu (Takifugu bimaculatus): A comparative study between fishing grounds and aquafarms.,accumulation of microplastics in fugu (takifugu bimaculatus): a comparative study between fishing grounds and aquafarms.
36188270,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"Effects of Polystyrene Microplastics on Human Kidney and Liver Cell Morphology, Cellular Proliferation, and Metabolism.","effects of polystyrene microplastics on human kidney and liver cell morphology, cellular proliferation, and metabolism."
35995287,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Effects of life cycle exposure to polystyrene microplastics on medaka fish (Oryzias latipes).,effects of life cycle exposure to polystyrene microplastics on medaka fish (oryzias latipes).
35952428,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Dietary exposure to polystyrene nanoplastics impairs fasting-induced lipolysis in adipose tissue from high-fat diet fed mice.,dietary exposure to polystyrene nanoplastics impairs fasting-induced lipolysis in adipose tissue from high-fat diet fed mice.
35709962,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"Effects of polyethylene terephthalate microplastic on germination, biochemistry and phytotoxicity of Cicer arietinum L. and cytotoxicity study on Allium cepa L.","effects of polyethylene terephthalate microplastic on germination, biochemistry and phytotoxicity of cicer arietinum l. and cytotoxicity study on allium cepa l."
35613682,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"A simple, rapid and accurate method for the sample preparation and quantification of meso- and microplastics in food and food waste streams.","a simple, rapid and accurate method for the sample preparation and quantification of meso- and microplastics in food and food waste streams."
35550901,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Effects of cooking methods on microplastics in dried shellfish.,effects of cooking methods on microplastics in dried shellfish.
35231784,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Abundance and characteristics of microplastics in gastrointestinal tracts and gills of croaker fish (Johnius dussumieri) from off Mumbai coastal waters of India.,abundance and characteristics of microplastics in gastrointestinal tracts and gills of croaker fish (johnius dussumieri) from off mumbai coastal waters of india.
35202882,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Microplastic uptake and gut retention time in Japanese anchovy (Engraulis japonicus) under laboratory conditions.,microplastic uptake and gut retention time in japanese anchovy (engraulis japonicus) under laboratory conditions.
35176674,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Fish personality affects their exposure to microplastics.,fish personality affects their exposure to microplastics.
35071060,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Microplastics in vacuum packages of frozen and glazed icefish (<i>Neosalanx</i> spp.): A freshwater fish intended for human consumption.,microplastics in vacuum packages of frozen and glazed icefish (<i>neosalanx</i> spp.): a freshwater fish intended for human consumption.
34946661,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Gut Microbiome and Degradation Product Formation during Biodegradation of Expanded Polystyrene by Mealworm Larvae under Different Feeding Strategies.,gut microbiome and degradation product formation during biodegradation of expanded polystyrene by mealworm larvae under different feeding strategies.
34932260,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Integrated sample-pretreatment strategy for separation and enrichment of microplastics and primary aromatic amines in the migration of teabag.,integrated sample-pretreatment strategy for separation and enrichment of microplastics and primary aromatic amines in the migration of teabag.
34902769,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"Microplastics in an anadromous national fish, Hilsa shad Tenualosa ilisha from the Bay of Bengal, Bangladesh.","microplastics in an anadromous national fish, hilsa shad tenualosa ilisha from the bay of bengal, bangladesh."
34688764,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Microplastics in a pelagic dolphinfish (Coryphaena hippurus) from the Eastern Pacific Ocean and the implications for fish health.,microplastics in a pelagic dolphinfish (coryphaena hippurus) from the eastern pacific ocean and the implications for fish health.
34634632,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Plastic debris and natural food in two commercially important fish species from the coast of Peru.,plastic debris and natural food in two commercially important fish species from the coast of peru.
34499472,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Evidence of Microplastic Translocation in Wild-Caught Fish and Implications for Microplastic Accumulation Dynamics in Food Webs.,evidence of microplastic translocation in wild-caught fish and implications for microplastic accumulation dynamics in food webs.
34485701,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,"Investigating microplastics and potentially toxic elements contamination in canned Tuna, Salmon, and Sardine fishes from Taif markets, KSA.","investigating microplastics and potentially toxic elements contamination in canned tuna, salmon, and sardine fishes from taif markets, ksa."
34481374,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Occurrence and characterization of microplastic content in the digestive system of riverine fishes.,occurrence and characterization of microplastic content in the digestive system of riverine fishes.
34425362,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Trophic transfer of microbeads to jellyfish and the importance of aging microbeads for microplastic experiments.,trophic transfer of microbeads to jellyfish and the importance of aging microbeads for microplastic experiments.
34371342,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,"Abundance and characteristics of microplastics in commercially important bottom dwelling finfishes and shellfish of the Vembanad Lake, India.","abundance and characteristics of microplastics in commercially important bottom dwelling finfishes and shellfish of the vembanad lake, india."
34258632,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Occurrence of Microplastics in Fish and Shrimp Feeds.,occurrence of microplastics in fish and shrimp feeds.
